"id_start","trip","trip_start","id_end","trip_end","deviceId","week_day_start","week_day_end","duration_hrs","speed_kmh_avg","distance_km","sensor_hrs","event_entry","event_exit"
478274376,1,"2021-11-01 01:40:10",478454438,"2021-11-01 06:50:47",1,"Monday","Monday",5.18,4.27,47.27,3.03,2,2
480634221,2,"2021-11-03 07:48:34",480825838,"2021-11-03 11:50:37",1,"Wednesday","Wednesday",4.03,4.28,34.49,1.97,2,1
481026102,3,"2021-11-03 15:58:46",481054417,"2021-11-03 16:37:23",1,"Wednesday","Wednesday",0.64,7.46,9.44,0,1,1
481484140,4,"2021-11-04 02:46:35",481533271,"2021-11-04 04:02:32",1,"Thursday","Thursday",1.27,3.5,9.59,0.73,1,1
482089555,5,"2021-11-04 15:37:07",482242349,"2021-11-04 19:07:55",1,"Thursday","Thursday",3.51,4.44,31.54,1.87,1,1
482528988,6,"2021-11-05 02:11:56",482641989,"2021-11-05 05:01:01",1,"Friday","Friday",2.82,5.64,31.84,1.32,1,1
485118534,7,"2021-11-07 15:07:38",485177181,"2021-11-07 16:34:34",1,"Sunday","Sunday",1.45,8.46,22.51,0.02,1,1
485552655,8,"2021-11-08 02:43:32",485643395,"2021-11-08 05:18:12",1,"Monday","Monday",2.58,3.96,21.69,1.67,1,1
485685403,9,"2021-11-08 06:24:19",485872498,"2021-11-08 10:19:29",1,"Monday","Monday",3.92,4.94,39.91,2.13,1,1
488261205,10,"2021-11-10 14:18:54",488460438,"2021-11-10 18:32:35",1,"Wednesday","Wednesday",4.23,6.49,53.53,1.55,2,2
488762934,11,"2021-11-11 01:39:33",488925326,"2021-11-11 05:33:34",1,"Thursday","Thursday",3.9,5.12,40.88,2.07,1,1
489426211,12,"2021-11-11 15:23:24",489580731,"2021-11-11 18:33:41",1,"Thursday","Thursday",3.17,6.76,40.96,1.15,2,2
489879944,13,"2021-11-12 01:43:35",490033405,"2021-11-12 05:39:19",1,"Friday","Friday",3.93,4.46,37.66,1.35,1,1
490095471,14,"2021-11-12 07:06:50",490169885,"2021-11-12 08:41:23",1,"Friday","Friday",1.58,4.87,16.63,0.02,1,1
490967211,15,"2021-11-13 01:41:42",491127540,"2021-11-13 06:07:41",1,"Saturday","Saturday",4.43,4.8,45.11,0,1,1
492504595,16,"2021-11-14 14:59:38",492548314,"2021-11-14 15:56:21",1,"Sunday","Sunday",0.95,6.53,11.92,0.02,1,1
492961055,17,"2021-11-15 02:41:28",493092757,"2021-11-15 06:00:27",1,"Monday","Monday",3.32,4,27.2,1.85,2,2
497482163,18,"2021-11-19 06:54:01",497568346,"2021-11-19 08:45:59",1,"Friday","Friday",1.87,5.11,18.15,0.62,1,1
498379573,19,"2021-11-20 01:58:53",498516065,"2021-11-20 05:37:43",1,"Saturday","Saturday",3.65,3.92,31.12,2.07,1,1
498555842,20,"2021-11-20 06:38:39",498672360,"2021-11-20 09:18:39",1,"Saturday","Saturday",2.67,6.46,33.53,1.1,1,1
499876963,21,"2021-11-21 14:02:21",499991879,"2021-11-21 17:01:05",1,"Sunday","Sunday",2.98,4.4,26.54,1.35,1,1
500301088,22,"2021-11-22 01:45:45",500545464,"2021-11-22 08:09:12",1,"Monday","Monday",6.39,3.43,46.42,4.12,1,1
